isoform_id	isoform_name	source	chromosome	strand	tss	tes	transcript_length	n_exons	exons	junctions	cds_start	cds_end	cds_length	protein_length	utr5_length	utr3_length	is_protein_coding	coding_source	expr_DMSO_ddali	expr_DMSO_dd	expr_DMSO_doali	expr_DMSO_at2	expr_DMSO_fb	expr_DMSO_mv
ENST00000911530.1	MTCL1-218	GENCODE	18	+	8705271	8832780	127510	14	8705271_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8819047_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832780_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	5826	1942	390	943	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000911531.1	MTCL1-219	GENCODE	18	+	8705351	8832777	127427	12	8705351_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832777_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	4440	1480	310	940	TRUE	GENCODE_biotype	0	0	NA	0.11	0.24	0.21
ENST00000911532.1	MTCL1-220	GENCODE	18	+	8705354	8832776	127423	13	8705354_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8779036_8779110_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8819047_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832776_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8779036_+;8779110_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	4431	1477	307	939	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000306329.16	MTCL1-201	GENCODE	18	+	8705556	8832778	127223	15	8705556_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8828908_8828964_+:CDS;8831607_8832778_+:exon	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8828908_+;8828964_8831607_+	8705661	8828943	5715	1905	105	3835	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000695635.1	MTCL1-216	GENCODE	18	+	8705556	8832778	127223	14	8705556_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832778_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	5910	1970	105	941	TRUE	GENCODE_biotype	0.18	0.7	NA	0.42	0	0.11
ENST00000695636.1	MTCL1-217	GENCODE	18	+	8705556	8832778	127223	15	8705556_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8792998_8793120_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832778_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8792998_+;8793120_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	6033	2011	105	941	TRUE	GENCODE_biotype	0.021	0.38	NA	0.18	0.22	0.5
ENST00000911533.1	MTCL1-221	GENCODE	18	+	8705596	8832778	127183	15	8705596_8706713_+:CDS;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8779033_8779110_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8819047_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8831607_8832778_+:CDS	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8779033_+;8779110_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	8705661	8831837	5904	1968	65	941	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000517570.5	MTCL1-204	GENCODE	18	+	8707411	8832777	125367	15	8707411_8707565_+:exon;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8828908_8828964_+:CDS;8831607_8832777_+:exon	8707565_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8828908_+;8828964_8831607_+	8718451	8828943	4635	1545	11040	3834	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000359865.7	MTCL1-202	GENCODE	18	+	8717371	8832778	115408	17	8717371_8717426_+:exon;8717904_8717962_+:exon;8718424_8718648_+:CDS;8720338_8720496_+:CDS;8777833_8777892_+:CDS;8783530_8784843_+:CDS;8785936_8786091_+:CDS;8792998_8793120_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:CDS;8806893_8807060_+:CDS;8812979_8813233_+:CDS;8818963_8819259_+:CDS;8821467_8821498_+:CDS;8824699_8826232_+:CDS;8828908_8828964_+:CDS;8831607_8832778_+:exon	8717426_8717904_+;8717962_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8792998_+;8793120_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8828908_+;8828964_8831607_+	8718451	8828943	4758	1586	1080	3835	TRUE	GENCODE_biotype	NA	NA	NA	NA	NA	NA
ENST00000522146.1	MTCL1-211	GENCODE	18	+	8717376	8777977	60602	4	8717376_8717426_+:exon;8718424_8718648_+:exon;8720338_8720496_+:exon;8777833_8777977_+:exon	8717426_8718424_+;8718648_8720338_+;8720496_8777833_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA
